"TEST ANALYST - US",1023,100.000000 %
"ASSOCIATE CONSULTANT - US",4392,99.908925 %
"PRODUCTION SUPPORT ANALYST - US",1451,99.862164 %
"SYSTEMS ENGINEER - US",10026,99.840415 %
"CONSULTANT - US",7413,99.797653 %
"TECHNOLOGY LEAD - US",28234,99.762697 %
"TECHNOLOGY ANALYST - US",26028,99.731059 %
"PROJECT MANAGER - US",7002,99.685804 %
"LEAD CONSULTANT - US",3394,99.646435 %
"DEVELOPER USER INTERFACE",5247,99.599771 %
"PRINCIPAL CONSULTANT - US",1349,99.481097 %
"ASSURANCE STAFF",2317,99.050496 %
"COMPUTER PROGRAMMER/CONFIGURER 2",6727,98.914821 %
"COMPUTER SYSTEMS ANALYST 2",4027,98.808046 %
"COMPUTER SYSTEMS ANALYST 3",2168,98.708487 %
"ADVISORY SENIOR",5343,98.633726 %
"COMPUTER PROGRAMMER / CONFIGURER 2",1276,98.510972 %
"COMPUTER PROGRAMMER/CONFIGURER 3",1145,98.427948 %
"BUSINESS TECHNOLOGY ANALYST",1817,98.293891 %
"ADVISORY MANAGER",3204,98.252185 %
"AUDIT SENIOR",1021,98.237023 %
"MODULE LEAD",2128,98.120301 %
"AUDIT ASSISTANT",1203,98.088113 %
"ADVISORY STAFF",2363,97.968684 %
"ERS SENIOR CONSULTANT",2158,97.914736 %
"TAX SENIOR",1795,97.883008 %
"ADVISORY SENIOR ASSOCIATE",1306,97.473201 %
"DEVELOPER",10041,97.340902 %
"ERS CONSULTANT",2068,96.953578 %
"COMPUTER SYSTEMS ENGINEER",3049,96.851427 %
"ASSURANCE SENIOR",1577,96.131896 %
"LEAD CONSULTANT",1759,96.020466 %
"COMPUTER USER SUPPORT SPECIALISTS",1246,95.345104 %
"WEB DEVELOPER",5543,95.273318 %
"PROJECT LEAD",1407,94.669510 %
"SYSTEMS ANALYSTS",1026,94.639376 %
"CONSULTANT",9786,94.277539 %
"MANAGER",4366,94.159414 %
"TECHNICAL ANALYST",2034,93.805310 %
"SENIOR ASSOCIATE",2396,93.405676 %
"SENIOR SYSTEMS ANALYST",4031,93.301910 %
 All Other*",21082,93.259653 %
"SENIOR CONSULTANT",12096,92.402447 %
"SENIOR PROGRAMMER ANALYST",2535,92.071006 %
"BUSINESS SYSTEM ANALYST",3806,91.854966 %
"TECHNICAL CONSULTANT",1541,91.823491 %
"COMPUTER PROGRAMMER",48071,91.516715 %
"INDUSTRIAL DESIGNER",3034,91.397495 %
"NETWORK AND COMPUTER SYSTEMS ADMINISTRATOR",1296,91.126543 %
"PHARMACIST",2827,90.979837 %
"SENIOR BUSINESS ANALYST",1431,90.705800 %
"SYSTEM ADMINISTRATOR",4004,90.509491 %
"SYSTEMS ADMINISTRATOR",2634,90.356872 %
"COMPUTER SYSTEMS ANALYSTS",73669,90.131534 %
"PROJECT MANAGER",8476,90.030675 %
"MANAGEMENT ANALYSTS",9501,90.001053 %
"SENIOR SYSTEMS ANALYST JC60",3068,89.928292 %
"SR. PROGRAMMER ANALYST",1169,89.905902 %
"Computer Systems Analysts",106356,89.675242 %
"COMPUTER OCCUPATIONS,32397,89.532981 %
"SALES ENGINEERS",2168,89.529520 %
"DATABASE ADMINISTRATORS",8118,89.443213 %
"ENGINEER",2113,89.398959 %
"BUSINESS ANALYST",19842,89.396230 %
"Computer Occupations,26326,89.386918 %
"COMPUTER SYSTEMS ANALYST",20191,89.376455 %
"DATABASE ADMINISTRATOR",9780,89.325153 %
"PROGRAMMER ANALYST",128216,89.217414 %
 ALL OTHER",99213,89.174806 %
 SYSTEMS SOFTWARE",22736,88.929451 %
"NETWORK AND COMPUTER SYSTEMS ADMINISTRATORS",9468,88.857203 %
"SYSTEMS ANALYST",30870,88.697765 %
"COMPUTER PROGRAMMERS",60674,88.678841 %
"NETWORK ADMINISTRATOR",1579,88.663711 %
"SOFTWARE DEVELOPERS,118923,88.600187 %
"DESIGN ENGINEER",2488,88.585209 %
"PHYSICIANS AND SURGEONS,3390,88.554572 %
"SENIOR SOFTWARE DEVELOPER",1642,88.550548 %
"INTERNISTS,1602,88.514357 %
"JAVA DEVELOPER",1169,88.451668 %
 Web Developers,2068,88.442940 %
"PHYSICAL THERAPISTS",5471,88.393347 %
"MANAGER JC50",1868,88.383298 %
"Software Developers,118922,88.334370 %
"BUSINESS SYSTEMS ANALYST",4571,88.273901 %
"COMPUTER AND INFORMATION SYSTEMS MANAGERS",4807,88.163095 %
 Systems Software",32288,88.162785 %
"SYSTEM ANALYST",2573,88.146133 %
"DATA ANALYST",1440,88.125000 %
"COMPUTER PROGRAMMER ANALYST",6179,88.104871 %
 Except Special Educati",6102,88.069485 %
"QA ANALYST",1631,88.044145 %
"PROGRAMMER ANALYST LEVEL 1",2386,88.013412 %
"WEB DEVELOPERS",1431,87.980433 %
 All Other",94241,87.944737 %
"Network and Computer Systems Administrators*",3509,87.888287 %
"Speech-Language Pathologists",1254,87.878788 %
"ELECTRICAL ENGINEERS",5713,87.817259 %
"MECHANICAL ENGINEERS",9943,87.810520 %
"PROGRAM MANAGER",1027,87.731256 %
 PC",1075,87.627907 %
"TECHNICAL LEAD",2484,87.560386 %
"PROGRAMMER",2660,87.556391 %
"SENIOR SOFTWARE ENGINEER",1625,87.507692 %
"CHEMISTS",1857,87.506731 %
"ANALYST",7559,87.471888 %
 APPLICATIONS",117676,87.454536 %
"PROGRAMMER/ANALYST",3108,87.419562 %
"SOFTWARE ENGINEER",4327,87.404668 %
"Management Analysts",14400,87.388889 %
"SYSTEMS ANALYST JC65",3321,87.383318 %
"Computer Programmers",86556,87.331901 %
 EXCEPT SPECIAL",2357,87.314383 %
 ALL",1168,87.243151 %
"SENIOR ENGINEER",1037,87.174542 %
",5868,87.116564 %
"Network and Computer Systems Administrators",8268,87.034349 %
"LOGISTICIANS",1511,87.028458 %
"Database Administrators",10159,86.986908 %
 GENERAL",3557,86.955299 %
"ACCOUNTANTS AND AUDITORS",6259,86.930820 %
"SYSTEMS ENGINEER",1457,86.890872 %
"SOFTWARE PROGRAMMER",1067,86.691659 %
 Applications",107447,86.585945 %
"Credit Analysts",1057,86.565752 %
"INFORMATION SECURITY ANALYSTS",1302,86.482335 %
"STATISTICIANS",3583,86.463857 %
"Mechanical Engineers",14029,86.449497 %
"ENGINEERS,2786,86.396267 %
"PROJECT ENGINEER",1739,86.371478 %
"ARCHITECTURAL AND ENGINEERING MANAGERS",1467,86.366735 %
"MATERIALS ENGINEERS",1127,86.335404 %
"MARKET RESEARCH ANALYSTS AND MARKETING SPECIALISTS",7079,86.297500 %
"MEDICAL TECHNOLOGIST",2569,86.259245 %
 Except Special and Career/",1398,86.194564 %
 EXCEPT COMPUTER",5706,86.172450 %
"SALES MANAGERS",1092,86.172161 %
"OCCUPATIONAL THERAPIST",1552,86.146907 %
"ASSOCIATE",7081,86.131902 %
"Statisticians",4009,86.106261 %
"Computer Hardware Engineers",1755,86.096866 %
"ELECTRONICS ENGINEERS,7549,86.024639 %
"Family and General Practitioners",1706,85.990621 %
"Physical Therapists",9962,85.976712 %
"OPERATIONS RESEARCH ANALYSTS",6623,85.942926 %
"Sales Engineers",3205,85.897036 %
"PHYSICAL THERAPIST",5968,85.891421 %
"MANAGER,3677,85.749252 %
"Chemists",3459,85.747326 %
"INDUSTRIAL ENGINEERS",3153,85.696162 %
"Architectural and Engineering Managers",2284,85.683012 %
"Computer and Information Systems Managers",7025,85.679715 %
"Pharmacists",3961,85.584448 %
"GRAPHIC DESIGNERS",2157,85.442745 %
"CIVIL ENGINEERS",3525,85.390071 %
"PROCESS ENGINEER",2875,85.356522 %
"Logisticians",2232,85.349462 %
"Operations Research Analysts",8197,85.275101 %
"Materials Engineers",1708,85.245902 %
"SALES ENGINEER",1008,85.218254 %
"FINANCIAL MANAGERS",1535,85.211726 %
 INC.",2764,85.202605 %
"Physicians and Surgeons,5156,85.182312 %
"Engineers,3556,85.179978 %
"NETWORK ENGINEER",2300,85.173913 %
"Economists",1225,85.142857 %
"Internists,3623,85.067624 %
 Al",1968,85.060976 %
"Computer and Information Research Scientists",1321,85.011355 %
"GENERAL AND OPERATIONS MANAGERS",1671,84.979054 %
"HUMAN RESOURCES SPECIALISTS",1135,84.845815 %
"MARKETING MANAGERS",2744,84.839650 %
"PHARMACISTS",1061,84.731385 %
"Market Research Analysts and Marketing Specialists",11157,84.583669 %
"COMMERCIAL AND INDUSTRIAL DESIGNERS",1252,84.504792 %
"Commercial and Industrial Designers",1845,84.444444 %
 Except Special and Care",4588,84.415867 %
"DENTISTS,1166,84.391081 %
"MECHANICAL ENGINEER",3329,84.379694 %
"COMPUTER AND INFORMATION RESEARCH SCIENTISTS",1222,84.369885 %
"Electronics Engineers,12495,84.321729 %
"Fashion Designers",1033,84.123911 %
 Preschool,1038,84.104046 %
"SOFTWARE DEVELOPER",2453,84.101101 %
"PRODUCT MANAGER",1239,84.100081 %
"STAFF ACCOUNTANT",1855,84.043127 %
"Dentists,1742,84.041332 %
"ASSOCIATE,1550,83.870968 %
"COMPUTER SYSTEM ANALYST",2239,83.787405 %
"Occupational Therapists",2404,83.735441 %
"Industrial Engineers",5404,83.641747 %
"Food Scientists and Technologists",1033,83.639884 %
 General",7168,83.510045 %
"BUSINESS DEVELOPMENT MANAGER",1146,83.507853 %
"Electrical Engineers",11022,83.487570 %
 Except Computer",11231,83.474312 %
"MANAGEMENT ANALYST",2829,83.457052 %
NA,4590,83.442266 %
"DIRECTOR,2764,83.393632 %
"Accountants and Auditors",10682,83.383262 %
"Cost Estimators",1233,83.373885 %
 Drama,1067,83.317713 %
"PUBLIC RELATIONS SPECIALISTS",1065,83.286385 %
"APPLICATION PROGRAMMER",1582,83.249052 %
 EXCEPT SPECIAL AND",3201,83.130272 %
"FINANCIAL ANALYSTS",6859,83.102493 %
"Chemical Engineers",2211,83.084577 %
"Financial Specialists,1126,83.037300 %
"FINANCIAL ANALYST",4542,82.959049 %
"COMPUTER HARDWARE ENGINEERS",1232,82.954545 %
"Civil Engineers",5764,82.876475 %
"MARKETING SPECIALIST",1161,82.859604 %
 A MASTECH HOLDINGS,5228,82.746748 %
"SYSTEM ENGINEER",1082,82.624769 %
"APPLICATION DEVELOPER",3841,82.582661 %
"Business Operations Specialists,3030,82.574257 %
"Biomedical Engineers",1408,82.528409 %
 All",1706,82.473623 %
"RESEARCH FELLOW",1183,82.417582 %
"Human Resources,1077,82.358403 %
"Industrial Production Managers",1101,82.198002 %
"SAP CONSULTANT",1179,82.103478 %
"MARKET RESEARCH ANALYST",4365,82.061856 %
"IT SPECIALIST",2314,82.022472 %
"BIOCHEMISTS AND BIOPHYSICISTS",1817,82.003302 %
"Sales Managers",2273,81.830180 %
"VICE PRESIDENT,2096,81.774809 %
"ELECTRICAL ENGINEER",1925,81.714286 %
 Except Special and Voca",1365,81.684982 %
 Postseco",3527,81.655798 %
"RESEARCH ASSISTANT",1210,81.652893 %
"Medical Scientists,2836,81.593794 %
"MEDICAL SCIENTISTS,1479,81.541582 %
"Biological Scientists,2177,81.488287 %
"Information Security Analysts,1869,81.487426 %
"Software Quality Assurance Engineers and Testers",2185,81.418764 %
"GRAPHIC DESIGNER",2567,81.417998 %
 EXCEPT LANDSCAPE AND NAVAL",1345,81.412639 %
"Financial Analysts",11895,81.252627 %
"SYSTEM ANALYST JC65",1419,81.183932 %
"Financial Managers",2997,81.114448 %
 Except Hydrologists and Geographers",1769,81.062747 %
 Postsecondary",26860,81.046165 %
"MANAGING CONSULTANT",2261,81.026095 %
"Computer Support Specialists",1247,80.834002 %
"CHEMICAL ENGINEERS",1139,80.684811 %
"SENIOR SYSTEM ENGINEER",1258,80.524642 %
 POSTSECONDARY",15762,80.503743 %
"BIOLOGICAL SCIENTISTS,1777,80.360158 %
"ACCOUNTANT",7148,80.316172 %
"Marketing Managers",5220,80.306513 %
 Except Landscape and Naval",2080,80.240385 %
"RESEARCH SCIENTIST",2353,80.195495 %
 Applications,1547,80.155139 %
"Physicists",1103,80.054397 %
 APPLICATIONS,1012,79.940711 %
"Managers,1433,79.832519 %
"VICE PRESIDENT",1814,79.713341 %
 Training,1248,79.647436 %
"Graphic Designers",3983,79.613357 %
"Medical and Health Services Managers",2009,79.542061 %
"Computer Software Engineers,21897,79.458373 %
"General and Operations Managers",3397,79.452458 %
"Architects,1541,79.169371 %
 Except Epidemiologists",13927,78.976090 %
"Biochemists and Biophysicists",3641,78.824499 %
"ASSISTANT VICE PRESIDENT",1255,78.565737 %
"PUBLIC RELATIONS SPECIALIST",1082,78.558226 %
"Public Relations Specialists",2020,78.465347 %
"POSTDOCTORAL RESEARCH FELLOW",1060,78.396226 %
 Except Special Education",1556,78.341902 %
"ENGINEER,1514,78.071334 %
"Advertising and Promotions Managers",1039,76.997113 %
"RESEARCH ASSOCIATE",6982,76.754512 %
"POSTDOCTORAL ASSOCIATE",2630,76.083650 %
"MARKETING MANAGER",1174,75.809199 %
"Chief Executives",1481,74.409183 %
"POSTDOCTORAL RESEARCH ASSOCIATE",3545,74.104372 %
 EXCEPT EPIDEMIOLOGISTS",7869,74.100902 %
 R&D",3368,73.871734 %
"POSTDOCTORAL FELLOW",3774,73.688394 %
"Lawyers",1554,73.552124 %
"Market Research Analysts",2971,73.174015 %
"ANALYST,1619,72.205065 %
"Accountants",1811,71.949199 %
